Standings,RL.XV,66,66.1,Lobby,GS,59,59.1,O3,79,79.1,TX,72,72.1,Round,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,PQL
5.0,,,,Lobby 4,,,,,,,WGGxPK,38.0,38.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
6.0,,,,Lobby 4,,,,,,,MBTN,36.0,36.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
7.0,,,,Lobby 4,,,,,,,QE.NY,33.0,33.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
8.0,,,,Lobby 4,,,,,,,South Cartel,22.0,22.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
9.0,,,,Lobby 4,,,,,,,EVO BERZ,21.0,21.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
10.0,,,,Lobby 4,,,,,,,Antiaa,15.0,15.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
11.0,,,,Lobby 4,,,,,,,RJININ,14.0,14.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
12.0,,,,Lobby 4,,,,,,,StrawberryJam,11.0,11.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
13.0,,,,Lobby 4,,,,,,,Bot Bot,11.0,11.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
14.0,,,,Lobby 4,,,,,,,DifferentBreed,10.0,10.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
15.0,,,,Lobby 4,,,,,,,Team Shinigami,8.0,8.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
16.0,,,,Lobby 4,,,,,,,Nim Nim Esport,4.0,4.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
17.0,,,,Lobby 4,,,,,,,BTCxWGG,4.0,4.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
18.0,,,,Lobby 4,,,,,,,NMLS,2.0,2.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
19.0,,,,Lobby 4,,,,,,,Tomato town,1.0,1.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
20.0,,,,Lobby 4,,,,,,,Haiya,1.0,1.0,Quarterfinals,,,,,,,,,,,,,,,,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,1.0,GS,69.0,17.0,1.0,4.0,14.0,16.0,0.0,1.0,15.0,4.0,11.0,13.0,5.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,2.0,April,62.0,4.0,4.0,7.0,3.0,2.0,13.0,9.0,0.0,1.0,7.0,12.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,3.0,RL.XV,54.0,13.0,6.0,12.0,5.0,15.0,3.0,3.0,5.0,18.0,1.0,1.0,12.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,4.0,PWLS,51.0,8.0,3.0,1.0,5.0,1.0,8.0,7.0,1.0,5.0,0.0,15.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,5.0,WHIZ,44.0,2.0,5.0,3.0,8.0,8.0,8.0,17.0,4.0,12.0,0.0,18.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,6.0,SNG,43.0,6.0,7.0,10.0,9.0,10.0,0.0,10.0,0.0,7.0,3.0,4.0,7.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,7.0,Pavlova,43.0,3.0,5.0,2.0,1.0,4.0,5.0,12.0,3.0,11.0,3.0,10.0,1.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,8.0,INF,39.0,5.0,0.0,13.0,0.0,7.0,6.0,4.0,7.0,13.0,0.0,3.0,5.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,9.0,Dimple Esport,38.0,1.0,8.0,19.0,0.0,13.0,0.0,16.0,0.0,3.0,7.0,9.0,1.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,10.0,Estrell,34.0,7.0,1.0,20.0,0.0,9.0,0.0,2.0,11.0,10.0,0.0,5.0,2.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,11.0,uwuXuwu,34.0,10.0,2.0,5.0,3.0,3.0,9.0,5.0,1.0,9.0,0.0,16.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,12.0,WAT,29.0,12.0,4.0,11.0,0.0,18.0,0.0,14.0,0.0,8.0,4.0,2.0,7.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,13.0,RNG,26.0,20.0,0.0,6.0,2.0,14.0,1.0,15.0,0.0,2.0,5.0,11.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,14.0,AFxRP Skyrise,18.0,15.0,2.0,17.0,0.0,5.0,2.0,8.0,4.0,16.0,0.0,7.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,15.0,RebellioN,17.0,11.0,0.0,14.0,3.0,12.0,0.0,11.0,0.0,6.0,0.0,6.0,4.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,16.0,EVO.Supreme,13.0,14.0,0.0,9.0,0.0,19.0,0.0,19.0,1.0,15.0,7.0,14.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,17.0,DREAM,11.0,9.0,4.0,15.0,0.0,17.0,3.0,18.0,1.0,20.0,0.0,20.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,18.0,IFPD,10.0,16.0,0.0,16.0,0.0,6.0,1.0,6.0,3.0,19.0,0.0,17.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,19.0,hello nihao,5.0,18.0,0.0,18.0,0.0,20.0,0.0,20.0,0.0,14.0,0.0,8.0,2.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Semifinals,20.0,Incorporated,4.0,19.0,0.0,8.0,0.0,11.0,0.0,13.0,0.0,17.0,0.0,20.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,1.0,O3,92.0,4.0,10.0,1.0,16.0,11.0,3.0,1.0,14.0,2.0,1.0,12.0,8.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,2.0,TX,45.0,13.0,12.0,18.0,0.0,16.0,5.0,12.0,3.0,15.0,3.0,1.0,7.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,3.0,PG,45.0,12.0,2.0,12.0,1.0,9.0,10.0,2.0,4.0,11.0,1.0,4.0,8.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,4.0,RL.Genesis,44.0,2.0,10.0,15.0,1.0,4.0,3.0,4.0,4.0,9.0,2.0,8.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,5.0,WGGxPK,42.0,17.0,0.0,2.0,4.0,1.0,8.0,19.0,0.0,5.0,5.0,17.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,6.0,On the Sticks,39.0,1.0,8.0,17.0,0.0,15.0,1.0,15.0,3.0,7.0,3.0,7.0,4.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,7.0,EVO BERZ,39.0,8.0,0.0,16.0,0.0,6.0,1.0,3.0,4.0,1.0,8.0,9.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,8.0,WGG,37.0,20.0,0.0,9.0,14.0,20.0,0.0,6.0,1.0,3.0,10.0,20.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,9.0,Antiaa,37.0,11.0,1.0,8.0,0.0,3.0,7.0,11.0,0.0,8.0,6.0,2.0,1.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,10.0,MBTN,36.0,19.0,3.0,20.0,1.0,2.0,9.0,18.0,1.0,20.0,0.0,5.0,9.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,11.0,iON,31.0,7.0,3.0,10.0,0.0,7.0,0.0,10.0,0.0,10.0,0.0,3.0,9.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,12.0,NonetWork,27.0,5.0,2.0,3.0,3.0,12.0,1.0,13.0,6.0,12.0,0.0,11.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,13.0,South Cartel,26.0,15.0,0.0,5.0,4.0,5.0,3.0,9.0,2.0,13.0,2.0,15.0,2.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,14.0,InfernoDSC,25.0,10.0,2.0,13.0,3.0,8.0,0.0,17.0,1.0,6.0,7.0,10.0,2.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,15.0,AMG TW,25.0,6.0,0.0,4.0,4.0,14.0,3.0,8.0,3.0,19.0,1.0,16.0,3.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,16.0,HeadHunters,24.0,18.0,0.0,11.0,5.0,13.0,0.0,5.0,6.0,4.0,2.0,18.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,17.0,DYN,21.0,3.0,1.0,7.0,2.0,10.0,0.0,14.0,0.0,16.0,0.0,6.0,2.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,18.0,LittleMeow,13.0,9.0,0.0,14.0,1.0,19.0,0.0,7.0,0.0,14.0,2.0,13.0,2.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,19.0,Hardstuck D4,10.0,14.0,0.0,6.0,0.0,17.0,0.0,16.0,3.0,18.0,2.0,14.0,0.0,Preseason_Qualifier_1
,,,,Lobby 2,,,,,,,,,,Semifinals,20.0,QE.NY,1.0,16.0,1.0,19.0,0.0,18.0,0.0,20.0,0.0,17.0,0.0,19.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,1.0,O3,67.0,6.0,4.0,6.0,9.0,13.0,6.0,11.0,3.0,1.0,8.0,3.0,10.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,2.0,TX,66.0,11.0,3.0,3.0,6.0,4.0,5.0,2.0,12.0,4.0,11.0,14.0,1.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,3.0,GS,66.0,15.0,0.0,12.0,8.0,8.0,11.0,10.0,4.0,2.0,9.0,7.0,16.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,4.0,EVO BERZ,49.0,13.0,0.0,10.0,2.0,1.0,12.0,1.0,6.0,19.0,0.0,9.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,5.0,SNG,45.0,2.0,6.0,2.0,4.0,11.0,0.0,8.0,3.0,8.0,2.0,6.0,4.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,6.0,PWLS,44.0,19.0,0.0,4.0,9.0,17.0,0.0,9.0,6.0,16.0,0.0,1.0,10.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,7.0,Estrell,41.0,1.0,11.0,11.0,0.0,15.0,1.0,6.0,0.0,3.0,5.0,19.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,8.0,RL.XV,36.0,3.0,1.0,8.0,0.0,10.0,2.0,3.0,7.0,6.0,4.0,15.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,9.0,Pavlova,33.0,4.0,2.0,1.0,4.0,9.0,0.0,13.0,2.0,14.0,0.0,11.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,10.0,INF,29.0,14.0,0.0,13.0,2.0,2.0,5.0,7.0,0.0,9.0,2.0,12.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,11.0,On the Sticks,28.0,10.0,3.0,5.0,1.0,6.0,7.0,5.0,1.0,11.0,2.0,17.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,12.0,April,26.0,17.0,3.0,7.0,2.0,5.0,3.0,15.0,0.0,5.0,3.0,13.0,2.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,13.0,WGGxPK,23.0,12.0,3.0,14.0,4.0,16.0,0.0,4.0,3.0,17.0,0.0,4.0,1.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,14.0,RL.Genesis,23.0,9.0,3.0,18.0,0.0,7.0,0.0,19.0,0.0,10.0,1.0,2.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,15.0,WGG,22.0,5.0,12.0,9.0,2.0,19.0,1.0,17.0,0.0,18.0,1.0,18.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,16.0,MBTN,18.0,16.0,0.0,17.0,0.0,3.0,4.0,18.0,0.0,15.0,3.0,16.0,3.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,17.0,Antiaa,13.0,8.0,0.0,15.0,0.0,18.0,0.0,12.0,3.0,12.0,1.0,5.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,18.0,WHIZ,11.0,18.0,0.0,16.0,0.0,14.0,0.0,14.0,2.0,7.0,2.0,8.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,19.0,PG,8.0,7.0,1.0,19.0,0.0,12.0,0.0,16.0,0.0,13.0,0.0,10.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Finals,20.0,Dimple Esport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Preseason_Qualifier_1
,,,,Lobby 1,,,,,,,,,,Round_1,1.0,NaresuanSniper,57.0,1.0,8.0,2.0,3.0,10.0,1.0,1.0,10.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,2.0,Pavlova,53.0,2.0,8.0,3.0,7.0,4.0,6.0,5.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,3.0,WAT,43.0,3.0,6.0,1.0,12.0,9.0,3.0,12.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,4.0,TX,41.0,4.0,3.0,7.0,3.0,6.0,4.0,4.0,15.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,5.0,JOKO,26.0,11.0,0.0,11.0,3.0,1.0,6.0,7.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,6.0,StrawberryJam,26.0,5.0,0.0,4.0,3.0,3.0,4.0,9.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,7.0,Fogyo City,23.0,8.0,0.0,5.0,0.0,5.0,4.0,2.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,8.0,LAG,19.0,7.0,3.0,9.0,0.0,2.0,0.0,11.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,9.0,FLRV,17.0,12.0,0.0,6.0,0.0,8.0,3.0,3.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,10.0,a搞耍小隊,13.0,6.0,3.0,12.0,0.0,7.0,0.0,6.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,11.0,GOB,10.0,9.0,3.0,10.0,0.0,12.0,0.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,12.0,team garong,7.0,10.0,0.0,8.0,0.0,11.0,0.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Round_1,13.0,SmoothOperators,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,1.0,April,75.0,10.0,3.0,5.0,12.0,1.0,20.0,2.0,13.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,2.0,IFPD,60.0,2.0,11.0,1.0,15.0,9.0,3.0,4.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,3.0,Team Shinigami,28.0,13.0,0.0,8.0,1.0,3.0,1.0,1.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,4.0,RL.IXiA,27.0,12.0,1.0,7.0,2.0,5.0,2.0,3.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,5.0,Losin Control,27.0,3.0,5.0,2.0,3.0,10.0,0.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,6.0,INF,26.0,8.0,4.0,11.0,0.0,6.0,11.0,7.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,7.0,SkarptSinne,24.0,1.0,5.0,13.0,0.0,13.0,0.0,9.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,8.0,Astreaks Gaming,22.0,7.0,4.0,6.0,1.0,2.0,0.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,9.0,OGL,19.0,6.0,6.0,12.0,0.0,4.0,1.0,6.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,10.0,TEAM MIRACLE,19.0,9.0,0.0,3.0,2.0,14.0,0.0,5.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,11.0,NOPLAY2,18.0,4.0,1.0,4.0,1.0,8.0,0.0,12.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,12.0,AfterMidnightG,11.0,5.0,1.0,10.0,0.0,7.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,13.0,NoWaifuNoLaifu,7.0,14.0,0.0,9.0,1.0,11.0,0.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Round_1,14.0,hello nihao,6.0,11.0,1.0,14.0,0.0,12.0,0.0,11.0,1.0,,,,,Preseason_Qualifier_2
