Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,Unnamed: 0,P.4,K.4,P.5,K.5,PQL
9.0,Bacalhau,26,12,0,18,0,2,10,7,3,Lobby 4,Quarterfinals,8.0,,,,,Preseason_Qualifier_1
10.0,OG,23,4,2,8,4,3,2,11,0,Lobby 4,Quarterfinals,9.0,,,,,Preseason_Qualifier_1
11.0,Sheriffs,21,10,3,10,7,15,5,15,0,Lobby 4,Quarterfinals,10.0,,,,,Preseason_Qualifier_1
12.0,SPPI,17,11,2,17,0,8,3,6,6,Lobby 4,Quarterfinals,11.0,,,,,Preseason_Qualifier_1
13.0,JIGSAW,17,7,3,9,3,11,3,8,0,Lobby 4,Quarterfinals,12.0,,,,,Preseason_Qualifier_1
14.0,3 Jabronies,13,13,0,6,6,6,0,17,0,Lobby 4,Quarterfinals,13.0,,,,,Preseason_Qualifier_1
15.0,Enoughandmore,10,9,1,15,1,12,3,13,0,Lobby 4,Quarterfinals,14.0,,,,,Preseason_Qualifier_1
16.0,MZY,9,14,0,12,3,13,1,12,1,Lobby 4,Quarterfinals,15.0,,,,,Preseason_Qualifier_1
17.0,Kvasna,6,16,0,5,0,9,0,18,0,Lobby 4,Quarterfinals,16.0,,,,,Preseason_Qualifier_1
18.0,Nuclear Apes,3,15,0,11,0,18,1,19,0,Lobby 4,Quarterfinals,17.0,,,,,Preseason_Qualifier_1
19.0,Monkey Milkers,3,19,0,13,0,20,0,10,0,Lobby 4,Quarterfinals,18.0,,,,,Preseason_Qualifier_1
20.0,BOOBA,1,20,0,20,0,17,1,20,0,Lobby 4,Quarterfinals,19.0,,,,,Preseason_Qualifier_1
1.0,ETH,62,7,3,13,1,1,7,2,6,Lobby 1,Semifinals,0.0,4.0,4.0,2.0,2.0,Preseason_Qualifier_1
2.0,TD,55,2,8,11,3,11,1,6,5,Lobby 1,Semifinals,1.0,5.0,9.0,5.0,7.0,Preseason_Qualifier_1
3.0,AAS,55,4,6,7,4,2,13,5,4,Lobby 1,Semifinals,2.0,13.0,2.0,11.0,3.0,Preseason_Qualifier_1
4.0,SMS,53,1,12,3,4,5,4,12,1,Lobby 1,Semifinals,3.0,18.0,3.0,15.0,4.0,Preseason_Qualifier_1
5.0,GIGI,52,9,0,1,6,20,0,1,14,Lobby 1,Semifinals,4.0,10.0,4.0,19.0,0.0,Preseason_Qualifier_1
6.0,FV,49,8,6,8,4,4,5,9,0,Lobby 1,Semifinals,5.0,14.0,2.0,1.0,8.0,Preseason_Qualifier_1
7.0,BGR,44,12,5,9,3,13,2,10,0,Lobby 1,Semifinals,6.0,1.0,8.0,10.0,6.0,Preseason_Qualifier_1
8.0,TRIHARD,37,17,3,12,2,12,0,3,5,Lobby 1,Semifinals,7.0,3.0,7.0,9.0,2.0,Preseason_Qualifier_1
9.0,AUS,32,16,0,5,6,10,3,14,3,Lobby 1,Semifinals,8.0,8.0,1.0,4.0,5.0,Preseason_Qualifier_1
10.0,BCG,31,10,0,4,9,15,1,17,0,Lobby 1,Semifinals,9.0,7.0,3.0,14.0,6.0,Preseason_Qualifier_1
11.0,LGN,31,11,3,6,2,6,0,7,2,Lobby 1,Semifinals,10.0,6.0,2.0,6.0,6.0,Preseason_Qualifier_1
12.0,6bnt,28,6,5,17,3,8,2,4,3,Lobby 1,Semifinals,11.0,12.0,1.0,8.0,1.0,Preseason_Qualifier_1
13.0,DM,28,19,0,2,7,19,0,8,5,Lobby 1,Semifinals,12.0,9.0,3.0,18.0,0.0,Preseason_Qualifier_1
14.0,PXL,26,15,0,19,2,18,5,20,0,Lobby 1,Semifinals,13.0,2.0,5.0,7.0,1.0,Preseason_Qualifier_1
15.0,LegionF,18,18,0,20,0,17,3,19,0,Lobby 1,Semifinals,14.0,17.0,0.0,3.0,8.0,Preseason_Qualifier_1
16.0,SPIRAL,15,5,2,18,0,9,3,13,0,Lobby 1,Semifinals,15.0,11.0,1.0,13.0,0.0,Preseason_Qualifier_1
17.0,UTFT,13,14,0,16,0,3,2,15,0,Lobby 1,Semifinals,16.0,15.0,0.0,12.0,0.0,Preseason_Qualifier_1
18.0,Mat For Victory,12,3,2,15,0,16,1,18,0,Lobby 1,Semifinals,17.0,19.0,0.0,17.0,1.0,Preseason_Qualifier_1
19.0,MP,11,13,1,10,1,14,3,16,1,Lobby 1,Semifinals,18.0,16.0,0.0,16.0,1.0,Preseason_Qualifier_1
20.0,Hope Die Last,10,20,0,14,1,7,2,11,2,Lobby 1,Semifinals,19.0,20.0,0.0,20.0,0.0,Preseason_Qualifier_1
1.0,69IQ,81,1,8,1,9,2,13,12,1,Lobby 2,Semifinals,0.0,2.0,4.0,12.0,2.0,Preseason_Qualifier_1
2.0,DI,74,3,2,5,4,3,3,1,9,Lobby 2,Semifinals,1.0,7.0,6.0,2.0,8.0,Preseason_Qualifier_1
3.0,K1CK,69,5,4,4,5,6,4,3,10,Lobby 2,Semifinals,2.0,13.0,2.0,1.0,12.0,Preseason_Qualifier_1
4.0,CHI,60,2,13,2,4,13,4,4,4,Lobby 2,Semifinals,3.0,18.0,3.0,4.0,3.0,Preseason_Qualifier_1
5.0,CLN,56,9,8,3,13,12,3,9,0,Lobby 2,Semifinals,4.0,10.0,5.0,3.0,6.0,Preseason_Qualifier_1
6.0,RD,42,14,2,17,2,7,0,11,6,Lobby 2,Semifinals,5.0,1.0,11.0,10.0,2.0,Preseason_Qualifier_1
7.0,SCBS,38,10,3,6,5,1,4,10,3,Lobby 2,Semifinals,6.0,17.0,0.0,6.0,1.0,Preseason_Qualifier_1
8.0,OG,31,4,9,14,3,9,5,15,0,Lobby 2,Semifinals,7.0,5.0,1.0,17.0,0.0,Preseason_Qualifier_1
9.0,signelunaire,29,12,0,8,1,14,4,2,5,Lobby 2,Semifinals,8.0,9.0,1.0,7.0,0.0,Preseason_Qualifier_1
10.0,NMS,28,11,2,9,1,15,2,5,7,Lobby 2,Semifinals,9.0,4.0,2.0,13.0,0.0,Preseason_Qualifier_1
11.0,HKE,23,8,3,7,1,4,6,18,0,Lobby 2,Semifinals,10.0,8.0,0.0,15.0,0.0,Preseason_Qualifier_1
12.0,Aspirateur,22,18,2,15,2,10,3,16,0,Lobby 2,Semifinals,11.0,6.0,5.0,14.0,3.0,Preseason_Qualifier_1
13.0,uwuowoboys,21,16,0,16,3,17,1,7,1,Lobby 2,Semifinals,12.0,11.0,1.0,5.0,7.0,Preseason_Qualifier_1
14.0,Undertaker,21,6,0,13,0,16,1,8,0,Lobby 2,Semifinals,13.0,12.0,5.0,9.0,6.0,Preseason_Qualifier_1
15.0,TURKs,16,13,1,18,0,5,3,14,3,Lobby 2,Semifinals,14.0,15.0,1.0,11.0,0.0,Preseason_Qualifier_1
16.0,NIBL,16,15,0,12,0,19,0,19,0,Lobby 2,Semifinals,15.0,3.0,4.0,16.0,3.0,Preseason_Qualifier_1
17.0,NurzethexStyleS,15,7,0,11,0,11,3,6,2,Lobby 2,Semifinals,16.0,19.0,0.0,8.0,0.0,Preseason_Qualifier_1
18.0,ATK,11,20,0,10,1,8,3,17,3,Lobby 2,Semifinals,17.0,16.0,0.0,18.0,0.0,Preseason_Qualifier_1
19.0,Team Volpid,8,19,0,19,4,20,0,13,3,Lobby 2,Semifinals,18.0,20.0,0.0,20.0,0.0,Preseason_Qualifier_1
20.0,Bacalhau,7,17,0,20,0,18,0,20,0,Lobby 2,Semifinals,19.0,14.0,3.0,19.0,3.0,Preseason_Qualifier_1
1.0,69IQ,67,17,3,15,0,15,2,1,7,Lobby 1,Finals,,1.0,9.0,1.0,8.0,Preseason_Qualifier_1
2.0,GIGI,63,5,11,9,1,1,18,4,5,Lobby 1,Finals,,13.0,1.0,12.0,2.0,Preseason_Qualifier_1
3.0,AUS,60,15,0,2,12,13,4,16,6,Lobby 1,Finals,,12.0,6.0,2.0,11.0,Preseason_Qualifier_1
4.0,ETH,54,3,3,7,2,3,6,3,5,Lobby 1,Finals,,2.0,4.0,16.0,1.0,Preseason_Qualifier_1
5.0,NMS,52,12,1,4,6,6,9,9,7,Lobby 1,Finals,,5.0,3.0,6.0,8.0,Preseason_Qualifier_1
6.0,OG,46,10,0,3,5,2,5,10,2,Lobby 1,Finals,,7.0,5.0,7.0,3.0,Preseason_Qualifier_1
7.0,RD,44,14,3,12,5,9,5,2,5,Lobby 1,Finals,,8.0,8.0,10.0,1.0,Preseason_Qualifier_1
8.0,BCG,37,19,1,5,7,14,1,15,2,Lobby 1,Finals,,4.0,6.0,4.0,4.0,Preseason_Qualifier_1
9.0,DI,37,1,10,11,1,20,0,6,3,Lobby 1,Finals,,16.0,3.0,13.0,3.0,Preseason_Qualifier_1
10.0,BGR,36,11,0,1,6,4,3,8,0,Lobby 1,Finals,,9.0,0.0,8.0,3.0,Preseason_Qualifier_1
11.0,K1CK,35,2,6,14,0,5,5,7,5,Lobby 1,Finals,,10.0,0.0,19.0,0.0,Preseason_Qualifier_1
12.0,TD,28,16,0,13,2,12,1,14,0,Lobby 1,Finals,,3.0,5.0,3.0,3.0,Preseason_Qualifier_1
13.0,signelunaire,22,6,2,6,5,19,0,18,0,Lobby 1,Finals,,11.0,2.0,9.0,4.0,Preseason_Qualifier_1
14.0,SCBS,22,4,6,16,0,16,0,5,2,Lobby 1,Finals,,6.0,2.0,17.0,0.0,Preseason_Qualifier_1
15.0,SMS,20,7,2,10,3,10,0,19,3,Lobby 1,Finals,,14.0,3.0,14.0,0.0,Preseason_Qualifier_1
16.0,CLN,18,13,6,8,1,11,2,17,2,Lobby 1,Finals,,17.0,0.0,18.0,3.0,Preseason_Qualifier_1
17.0,AAS,16,8,3,17,0,18,0,13,3,Lobby 1,Finals,,18.0,0.0,5.0,3.0,Preseason_Qualifier_1
18.0,TRIHARD,10,20,0,20,0,7,0,11,1,Lobby 1,Finals,,15.0,3.0,11.0,0.0,Preseason_Qualifier_1
19.0,CHI,6,9,1,18,0,8,1,20,0,Lobby 1,Finals,,19.0,0.0,20.0,0.0,Preseason_Qualifier_1
20.0,FV,3,18,0,19,0,17,0,12,1,Lobby 1,Finals,,20.0,0.0,15.0,0.0,Preseason_Qualifier_1
1.0,PRSTS,61,7,3,2,5,1,13,5,12,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
2.0,AAS,60,6,5,7,8,4,6,1,18,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
3.0,FV,53,1,12,4,4,2,8,15,2,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
4.0,kawaii,51,5,4,1,10,3,6,11,7,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
5.0,Fight Club,37,2,15,6,2,6,0,4,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
6.0,3 Jabronies,30,4,5,3,8,18,0,6,2,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
7.0,Crying our best,22,14,0,9,0,7,4,2,3,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
8.0,VYBN,19,12,2,10,4,14,2,10,5,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
9.0,ThatsaYouProblem,18,3,3,11,3,12,1,8,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
10.0,NyanPasu,12,10,0,8,4,13,0,9,1,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
11.0,ConsoleGamers,12,15,0,5,0,8,4,14,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
12.0,SynController,11,9,0,16,0,10,0,3,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
13.0,MyTeam,10,18,0,13,3,11,2,7,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
14.0,FRUTOZAVR,8,16,0,18,0,15,3,13,3,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
15.0,LFT P4,7,11,0,14,1,9,2,16,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
16.0,Ryze Empire EU,5,17,0,12,0,5,0,18,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
17.0,Deine Freunde,3,8,0,15,0,17,0,17,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
18.0,Tankiii,2,13,0,17,0,16,0,12,0,Lobby 10,Round_1,,,,,,Preseason_Qualifier_2
1.0,Weebs Out,68,14,0,1,23,1,15,16,5,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
2.0,DI,55,2,9,10,6,6,8,1,6,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
3.0,Moanerz EU,48,4,4,7,2,3,8,3,12,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
4.0,NIBL,40,1,11,13,0,16,4,4,7,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
5.0,Phoenix,39,7,8,5,6,5,6,7,5,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
6.0,Falcons,26,6,3,8,0,2,8,15,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
7.0,Sxercise,23,16,0,4,3,12,0,2,5,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
8.0,PolyGuys,22,5,4,11,0,4,1,6,4,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
9.0,Wattson Simps,22,3,7,15,0,7,2,10,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
10.0,Convergent,16,18,0,2,4,10,0,14,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
11.0,789Academy,15,10,1,14,1,8,1,5,3,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
12.0,PepeReady,12,8,0,3,2,11,0,17,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
13.0,MF,11,15,0,12,4,9,2,13,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
14.0,ANTG,11,11,3,9,2,14,0,9,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
15.0,5Second,5,20,0,20,0,15,0,8,2,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
16.0,Nevermind Tromsø,5,12,0,6,0,17,0,11,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
17.0,LPm,2,9,0,18,0,18,0,18,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
18.0,OXR,2,17,0,16,0,13,0,12,0,Lobby 11,Round_1,,,,,,Preseason_Qualifier_2
1.0,BGR,77,3,9,1,14,1,11,4,7,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
2.0,RAT,58,1,13,3,13,11,1,5,7,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
3.0,SYND,54,14,0,2,8,4,12,1,7,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
4.0,fifth grader,39,2,8,14,0,6,3,2,6,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
5.0,iEnvy,36,7,2,4,6,3,7,8,4,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
6.0,Undertaker,25,18,0,19,0,7,5,3,10,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
7.0,Bontoutou_ESPORT,25,11,4,5,1,2,5,11,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
8.0,TURKs,14,13,3,6,0,13,0,7,3,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
9.0,qoud vera Genus,13,10,4,13,0,12,0,6,2,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
10.0,3apushili umerli,13,12,0,7,0,5,2,13,2,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
11.0,Last Light,11,8,3,9,0,9,1,15,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
12.0,Dababy,8,6,3,20,0,16,0,16,2,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
13.0,RatPasTaGame,8,15,0,10,1,8,0,10,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
14.0,Stick-warriors,7,9,0,16,0,10,0,12,2,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
15.0,FRLS,7,5,0,11,0,17,0,9,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
16.0,Kids With Candy,6,17,0,8,2,14,0,14,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
17.0,1YEP6,2,16,0,12,0,15,0,17,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
18.0,ClanKitsune,0,20,0,18,0,18,0,20,0,Lobby 12,Round_1,,,,,,Preseason_Qualifier_2
1.0,BOOBA,69,3,4,1,20,9,8,2,7,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
2.0,SHEESH,62,1,10,3,4,3,15,10,5,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
3.0,Aspirateur,49,4,6,4,4,1,10,12,6,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
4.0,XDA,39,2,7,10,6,14,3,6,8,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
5.0,ETH,38,6,6,12,1,12,2,1,12,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
6.0,Mat For Victory,25,5,0,6,3,10,1,3,5,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
7.0,Senbonzakura,21,13,4,11,0,6,5,5,3,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
8.0,CHOC,17,11,1,7,2,4,1,7,1,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
9.0,Nuclear Apes,17,14,0,2,3,15,0,13,2,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
10.0,Over The Top Sgv,17,10,0,14,0,2,3,9,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
11.0,Class 1A,15,16,0,5,6,17,1,8,2,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
12.0,Il malae,12,7,3,8,0,7,0,14,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
13.0,LowCostSquad,9,9,2,17,0,5,1,18,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
14.0,PS_Esport,8,15,2,18,0,13,3,11,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
15.0,Kiberkotleti,8,18,0,9,0,16,0,4,1,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
16.0,DidzGhiott,5,12,1,13,0,8,0,17,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
17.0,ENDSARZZ,4,8,0,15,0,11,0,16,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
18.0,ERZWODEZWO,1,17,0,16,0,18,0,15,0,Lobby 13,Round_1,,,,,,Preseason_Qualifier_2
1.0,CLN,87,5,12,2,14,1,16,4,15,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
2.0,NoHalo,66,1,14,3,8,12,1,1,11,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
3.0,Illuminary FTW,30,18,0,1,6,5,5,7,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
4.0,KYKLOS,29,8,0,7,3,2,3,3,2,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
5.0,The Last Hope,26,12,0,14,3,3,4,5,6,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
6.0,Exalty,25,3,3,6,0,4,3,14,3,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
7.0,LGN,24,2,3,10,6,15,1,11,1,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
8.0,SVR,23,4,3,8,0,13,0,2,3,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
9.0,NoFear,19,11,5,4,1,9,0,6,2,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
10.0,OG,15,6,1,9,3,10,4,16,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
11.0,ARIS,13,16,0,5,1,7,3,10,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
12.0,Let’s Carry This,8,13,0,13,0,11,3,8,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
13.0,TheNightHorsemen,7,15,0,11,0,6,0,9,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
14.0,DoubleuandL,6,9,0,15,0,14,1,12,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
15.0,Popopo,5,14,0,12,1,8,0,17,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
16.0,DUNDER,4,7,0,16,0,17,0,15,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
17.0,MAB Esports,3,10,0,17,0,16,0,13,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
18.0,X2,0,20,0,20,0,20,0,20,0,Lobby 14,Round_1,,,,,,Preseason_Qualifier_2
1.0,RD,76,3,3,9,3,1,21,2,19,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
2.0,PKS,47,1,16,5,8,12,5,15,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
3.0,Oui,38,4,5,2,12,7,3,16,1,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
4.0,USG,38,13,2,3,4,8,0,1,10,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
5.0,plei,32,10,9,8,5,2,3,9,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
6.0,Q Tactics,31,9,0,1,8,15,0,8,6,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
7.0,WLS,29,8,5,7,5,5,5,4,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
8.0,FP,19,15,0,15,0,4,3,7,6,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
9.0,Transatlantic EU,17,6,2,6,3,9,2,14,1,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
10.0,Next Gen Esports,17,2,4,18,0,16,0,5,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
11.0,FriendsofBoomers,16,7,0,4,1,6,4,18,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
12.0,TAW Rampage,13,14,0,14,0,3,3,13,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
13.0,SPIRAL,11,16,0,16,4,14,3,6,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
14.0,Les tacos,11,18,0,13,0,17,0,3,3,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
15.0,So Basically,10,5,0,11,0,10,1,10,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
16.0,Aesir,8,12,1,12,2,13,1,11,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
17.0,Pog Frog,7,11,2,10,0,11,0,12,0,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
18.0,Vinson Dynamics,3,17,0,17,0,18,0,17,3,Lobby 15,Round_1,,,,,,Preseason_Qualifier_2
1.0,TD,70,5,13,1,19,3,11,11,3,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
2.0,Pepegi,46,9,6,3,11,6,8,12,8,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
3.0,47 squad,45,4,7,8,4,14,0,1,14,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
4.0,uwuowoboys,44,1,5,9,1,7,8,6,10,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
5.0,Justthreeplayers,33,6,1,6,2,1,5,7,4,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
6.0,Ween Gang,31,2,5,11,1,4,3,4,2,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
7.0,JIGSAW,23,10,2,5,2,2,1,9,1,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
8.0,Bikes,21,12,2,4,1,13,0,3,4,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
9.0,AGILE,15,11,0,2,0,5,0,13,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
10.0,First in Battle,14,13,0,12,0,9,1,2,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
11.0,CLOWNs,13,17,0,13,5,8,3,10,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
12.0,Are we in,13,7,2,7,0,11,0,5,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
13.0,sunder,11,8,0,10,0,10,4,15,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
14.0,ExplosionFusion,9,3,0,16,0,17,0,8,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
15.0,FishSticks,2,20,0,15,0,12,0,17,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
16.0,SpartanWarriors,2,20,0,14,0,15,0,16,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
17.0,gamrgolemgodgang,2,14,0,18,0,18,0,14,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
18.0,KTL Squad,0,16,0,17,0,16,0,20,0,Lobby 16,Round_1,,,,,,Preseason_Qualifier_2
1.0,MP,93,1,18,2,16,10,2,1,22,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
2.0,ZAB,57,6,0,3,9,1,16,3,3,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
3.0,SLAP,39,12,4,1,15,19,0,12,6,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
4.0,SCBS,35,8,6,4,5,4,9,7,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
5.0,Senshi,34,15,0,9,6,3,7,6,8,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
6.0,SCTA,23,3,3,13,0,5,6,15,1,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
7.0,plugged off life,20,2,2,16,0,17,0,2,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
8.0,Moin Myster,17,17,1,10,0,2,1,9,2,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
9.0,Backstabberinos,15,9,4,17,0,15,3,8,3,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
10.0,Kryptic,15,4,7,15,0,12,0,18,1,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
11.0,DIVE,14,13,2,5,3,13,2,11,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
12.0,SinoriaL,13,10,1,6,1,7,0,13,2,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
13.0,3FR,12,11,0,8,0,14,2,5,2,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
14.0,Squirtle Squad,11,19,0,7,0,6,3,10,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
15.0,Royal Mooses,11,7,0,14,0,8,0,4,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
16.0,Apex Who Dis,9,14,3,12,0,11,2,14,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
17.0,DASK,8,5,2,18,0,9,0,16,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
18.0,NPS,1,18,0,11,0,18,0,17,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
19.0,Tse OG,0,16,0,19,0,16,0,20,0,Lobby 1,Round_1,,,,,,Preseason_Qualifier_2
1.0,ORCL,103,1,14,1,11,1,18,2,15,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
2.0,2ege1college,44,8,2,4,7,2,5,6,11,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
3.0,GOD,33,12,2,2,2,17,0,1,7,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
4.0,NotoriousFamily,21,3,1,11,3,10,5,11,1,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
5.0,BLB,20,10,0,10,3,4,4,12,3,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
6.0,DaWinx,20,11,3,9,1,6,2,3,1,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
7.0,superdumplings,19,6,0,3,1,16,4,7,1,Lobby 2,Round_1,,,,,,Preseason_Qualifier_2
