C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
,AIE,10,6,2,11,0,13,0,18,1,14,0,11,0,Round 11,18.0,,,,,Split_2
,3PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 11,19.0,,,,,Split_2
,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 11,20.0,,,,,Split_2
,FNX,65,8,7,16,0,1,12,18,1,1,12,12,6,Round 12,,1.0,,,,Split_2
,OF,65,1,9,4,2,3,5,2,6,4,3,10,0,Round 12,,2.0,,,,Split_2
,SNG,64,2,8,1,13,7,5,6,2,9,1,4,1,Round 12,,3.0,,,,Split_2
,PTD,62,3,4,11,1,4,3,1,14,10,0,5,9,Round 12,,4.0,,,,Split_2
,DS,56,6,1,19,0,2,9,13,2,3,6,1,6,Round 12,,5.0,,,,Split_2
,DOOD,53,12,5,2,11,17,1,3,10,17,0,3,2,Round 12,,6.0,,,,Split_2
,HRS,39,5,9,6,2,14,2,10,0,5,10,11,1,Round 12,,7.0,,,,Split_2
,INS,33,7,1,7,3,10,2,7,10,15,2,8,1,Round 12,,8.0,,,,Split_2
,BRZ,32,11,0,8,3,6,1,5,6,6,3,6,3,Round 12,,9.0,,,,Split_2
,SUAVE,30,9,0,14,2,19,0,11,0,2,5,7,7,Round 12,,10.0,,,,Split_2
,NLNL,28,16,0,3,6,11,9,14,0,13,2,15,0,Round 12,,11.0,,,,Split_2
,FSN,27,13,0,9,5,18,0,4,2,8,6,9,2,Round 12,,12.0,,,,Split_2
,OMEGA,23,14,0,17,0,15,0,17,0,19,0,2,12,Round 12,,13.0,,,,Split_2
,GUG,15,15,0,12,0,5,3,9,4,16,0,16,0,Round 12,,14.0,,,,Split_2
,ULW,12,18,1,15,0,16,0,8,1,7,4,18,0,Round 12,,15.0,,,,Split_2
,USB,12,4,3,13,1,12,0,19,0,14,0,19,0,Round 12,,16.0,,,,Split_2
,BHT,11,17,0,5,3,9,1,16,0,11,0,17,0,Round 12,,17.0,,,,Split_2
,SIG,9,10,2,18,0,13,1,12,0,12,0,14,0,Round 12,,18.0,,,,Split_2
,TBG,8,19,0,10,0,8,0,15,0,18,0,13,2,Round 12,,19.0,,,,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,,20.0,,,,Split_2
,1SE,64,20,0,1,11,11,4,1,10,9,3,6,6,Round 1,,,1.0,,,Split_2
,ODK,64,2,13,15,6,5,5,7,6,5,4,7,6,Round 1,,,2.0,,,Split_2
,FNX,61,13,3,17,0,1,9,10,6,15,4,1,11,Round 1,,,3.0,,,Split_2
,INS,51,1,11,18,0,7,6,3,5,12,0,5,2,Round 1,,,4.0,,,Split_2
,DOOD,47,4,3,10,6,6,3,14,3,3,5,2,0,Round 1,,,5.0,,,Split_2
,1IQ,39,5,6,16,0,2,13,19,1,8,2,15,1,Round 1,,,6.0,,,Split_2
,3KPA,34,7,6,9,6,14,5,8,1,13,6,12,0,Round 1,,,7.0,,,Split_2
,BTH,34,9,3,12,0,10,1,13,0,7,1,3,13,Round 1,,,8.0,,,Split_2
,NLNL,34,15,3,5,4,15,0,6,5,2,4,20,0,Round 1,,,9.0,,,Split_2
,DS,32,3,2,8,0,17,0,2,3,6,1,11,4,Round 1,,,10.0,,,Split_2
,SUAVE,30,11,4,6,7,9,0,4,7,19,0,13,0,Round 1,,,11.0,,,Split_2
,BRZ,26,6,1,14,3,19,0,9,1,4,10,17,0,Round 1,,,12.0,,,Split_2
,DYN,25,14,0,3,5,8,2,11,0,18,0,10,5,Round 1,,,13.0,,,Split_2
,3PLUS,24,17,0,19,0,18,0,18,0,1,9,18,3,Round 1,,,14.0,,,Split_2
,GUG,24,18,0,2,3,12,3,20,0,10,3,8,1,Round 1,,,15.0,,,Split_2
,AIE,21,8,1,7,1,3,4,12,0,14,0,19,1,Round 1,,,16.0,,,Split_2
,PRDX,20,12,0,4,4,16,1,5,3,16,2,16,0,Round 1,,,17.0,,,Split_2
,ULW,17,19,0,13,0,4,1,15,6,17,0,9,1,Round 1,,,18.0,,,Split_2
,TCS,10,10,3,20,0,20,0,16,0,11,2,14,1,Round 1,,,19.0,,,Split_2
,USB,9,16,0,11,1,13,0,17,0,20,0,4,1,Round 1,,,20.0,,,Split_2
,ELV,91,3,4,10,3,11,8,1,13,3,9,1,13,Round 2,,,,1.0,,Split_2
,SNG,83,18,0,2,16,1,15,5,8,2,3,9,5,Round 2,,,,2.0,,Split_2
,LNW,60,1,11,5,6,4,3,2,0,17,1,4,4,Round 2,,,,3.0,,Split_2
,PTD,51,6,5,1,11,12,0,7,4,9,4,8,4,Round 2,,,,4.0,,Split_2
,XEN,51,4,2,17,2,13,1,6,5,1,11,10,7,Round 2,,,,5.0,,Split_2
,PD,45,2,6,4,5,14,2,17,0,6,4,3,3,Round 2,,,,6.0,,Split_2
,BHT,40,9,0,8,0,3,3,4,5,15,0,2,6,Round 2,,,,7.0,,Split_2
,TBG,30,17,0,3,1,7,3,3,2,5,2,15,0,Round 2,,,,8.0,,Split_2
,MVP,26,19,0,11,1,16,0,8,1,4,9,6,4,Round 2,,,,9.0,,Split_2
,OF,22,10,2,6,6,17,0,14,5,10,1,18,0,Round 2,,,,10.0,,Split_2
,OMEGA,21,15,0,14,3,9,3,11,4,7,3,17,0,Round 2,,,,11.0,,Split_2
,GHT,20,8,10,12,0,8,0,15,0,14,0,13,2,Round 2,,,,12.0,,Split_2
,ASAIM,20,16,0,9,0,2,6,18,0,11,1,12,0,Round 2,,,,13.0,,Split_2
,HRS,18,14,5,7,3,15,3,16,1,19,0,14,0,Round 2,,,,14.0,,Split_2
,SIG,17,13,0,15,2,5,1,10,0,16,0,5,2,Round 2,,,,15.0,,Split_2
,CAPI,15,5,2,19,0,18,0,9,3,13,0,16,3,Round 2,,,,16.0,,Split_2
,SST,15,7,2,16,0,10,0,13,1,8,3,11,0,Round 2,,,,17.0,,Split_2
,FSN,10,11,0,18,0,6,3,12,2,18,0,19,0,Round 2,,,,18.0,,Split_2
,TK,10,12,0,13,0,19,0,19,0,12,3,7,1,Round 2,,,,19.0,,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 2,,,,20.0,,Split_2
,SNG,83,3,5,15,1,2,13,12,2,1,16,3,9,Round 3,,,,,1.0,Split_2
,ODK,74,11,1,2,5,5,6,1,10,6,3,1,8,Round 3,,,,,2.0,Split_2
,HRS,72,18,0,13,3,1,14,2,10,3,8,4,3,Round 3,,,,,3.0,Split_2
,1SE,57,1,8,4,5,6,5,5,3,8,6,11,3,Round 3,,,,,4.0,Split_2
,BTH,40,10,0,1,8,9,0,17,0,5,8,10,2,Round 3,,,,,5.0,Split_2
,TBG,32,2,4,11,1,16,0,3,0,2,1,18,0,Round 3,,,,,6.0,Split_2
,FSN,31,6,9,7,1,12,0,14,0,18,0,2,4,Round 3,,,,,7.0,Split_2
,PTD,30,14,3,3,4,7,1,15,2,16,0,9,6,Round 3,,,,,8.0,Split_2
,3PLUS,29,4,6,6,9,14,1,16,0,13,0,7,0,Round 3,,,,,9.0,Split_2
,3KPA,25,17,3,14,4,13,1,4,10,17,0,16,0,Round 3,,,,,10.0,Split_2
,OF,24,13,0,17,0,3,4,18,0,7,2,5,3,Round 3,,,,,11.0,Split_2
,1IQ,22,16,0,18,0,10,1,10,5,4,4,17,3,Round 3,,,,,12.0,Split_2
,OMEGA,21,12,2,10,5,15,0,9,0,11,2,6,2,Round 3,,,,,13.0,Split_2
,DYN,21,7,1,16,0,4,2,8,5,14,0,13,1,Round 3,,,,,14.0,Split_2
,BHT,21,8,3,5,3,11,0,6,2,10,0,15,0,Round 3,,,,,15.0,Split_2
,PRDX,18,9,4,12,0,17,0,7,2,15,2,8,1,Round 3,,,,,16.0,Split_2
,AIE,14,15,0,9,0,18,0,11,1,9,1,12,5,Round 3,,,,,17.0,Split_2
,SIG,14,5,1,8,1,8,1,13,0,12,0,14,0,Round 3,,,,,18.0,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,,,,,19.0,Split_2
,TCS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,,,,,20.0,Split_2
1.0,XEN,86,3,8,1,15,11,0,12,8,2,8,1,5,Round 4,,,,,,Split_2
2.0,DOOD,65,1,13,5,4,7,9,5,6,9,4,12,3,Round 4,,,,,,Split_2
3.0,ELV,58,8,7,13,3,2,13,4,3,7,10,9,0,Round 4,,,,,,Split_2
4.0,SUAVE,55,2,2,16,0,1,7,7,2,4,4,4,6,Round 4,,,,,,Split_2
5.0,FNX,44,17,0,4,8,15,0,2,7,3,7,16,0,Round 4,,,,,,Split_2
6.0,ASAIM,42,5,8,6,3,10,0,8,0,1,8,17,0,Round 4,,,,,,Split_2
7.0,USB,35,18,0,14,0,17,3,1,11,19,0,3,1,Round 4,,,,,,Split_2
8.0,BRZ,33,6,2,8,1,18,2,20,0,13,0,2,13,Round 4,,,,,,Split_2
9.0,PD,29,16,0,12,4,3,3,6,4,11,2,13,3,Round 4,,,,,,Split_2
10.0,DS,25,15,2,7,2,8,5,11,0,5,3,19,2,Round 4,,,,,,Split_2
11.0,GHT,25,7,1,19,0,5,4,9,3,18,0,6,5,Round 4,,,,,,Split_2
12.0,LNW,22,4,6,11,1,19,1,13,0,17,6,15,0,Round 4,,,,,,Split_2
13.0,SST,22,9,2,9,4,20,1,16,0,14,0,5,6,Round 4,,,,,,Split_2
14.0,MVP,22,12,1,3,5,13,3,10,1,12,0,18,0,Round 4,,,,,,Split_2
15.0,CAPI,21,13,1,2,3,9,1,18,0,6,1,20,0,Round 4,,,,,,Split_2
16.0,TK,19,14,2,17,1,14,0,19,3,8,3,11,5,Round 4,,,,,,Split_2
17.0,INS,19,19,0,18,1,4,1,3,4,16,0,14,0,Round 4,,,,,,Split_2
18.0,NLNL,17,11,2,10,1,16,0,17,0,15,1,8,7,Round 4,,,,,,Split_2
19.0,GUG,16,10,0,20,0,6,5,14,0,20,0,7,2,Round 4,,,,,,Split_2
20.0,ULW,8,20,1,15,0,12,0,15,0,10,0,10,0,Round 4,,,,,,Split_2
,ELV,66,11,3,8,1,10,7,1,6,2,8,2,6,Round 5,1.0,,,,,Split_2
,PD,64,5,6,15,0,1,11,8,3,9,3,3,13,Round 5,2.0,,,,,Split_2
,LNW,61,4,14,4,12,8,4,10,6,6,4,6,1,Round 5,3.0,,,,,Split_2
,1IQ,56,3,0,16,1,5,0,2,9,1,8,4,1,Round 5,4.0,,,,,Split_2
,XEN,46,1,11,1,8,12,0,19,0,14,0,14,0,Round 5,5.0,,,,,Split_2
,ODK,42,16,0,7,8,6,10,12,1,12,8,11,6,Round 5,6.0,,,,,Split_2
,1SE,39,19,3,20,0,11,0,14,5,10,1,1,14,Round 5,7.0,,,,,Split_2
,AIE,33,15,0,2,5,17,0,13,4,4,7,13,0,Round 5,8.0,,,,,Split_2
,SST,33,8,0,5,4,4,3,9,2,15,0,5,6,Round 5,9.0,,,,,Split_2
,ASAIM,29,2,8,13,0,18,0,6,4,16,1,8,1,Round 5,10.0,,,,,Split_2
,BTH,28,12,1,6,1,16,0,5,5,3,3,15,2,Round 5,11.0,,,,,Split_2
,PRDX,27,18,0,9,3,3,2,3,4,20,0,10,0,Round 5,12.0,,,,,Split_2
,TK,26,14,0,3,8,7,1,20,0,7,1,9,0,Round 5,13.0,,,,,Split_2
,DYN,23,9,1,11,0,14,2,11,3,5,8,19,0,Round 5,14.0,,,,,Split_2
,MVP,23,10,4,19,0,9,1,7,3,13,3,7,1,Round 5,15.0,,,,,Split_2
,3KPA,22,6,0,17,0,2,10,18,0,17,0,20,0,Round 5,16.0,,,,,Split_2
,CAPI,14,17,0,18,0,15,3,4,1,11,0,12,2,Round 5,17.0,,,,,Split_2
,3PLUS,13,7,4,14,1,19,0,16,1,8,0,16,1,Round 5,18.0,,,,,Split_2
,TCS,10,20,0,10,3,13,3,15,0,18,0,18,0,Round 5,19.0,,,,,Split_2
,GHT,8,13,1,12,0,20,1,17,2,19,0,17,2,Round 5,20.0,,,,,Split_2
,SNG,101,1,11,4,4,3,9,1,9,4,13,3,7,Round 6,,1.0,,,,Split_2
,FNX,63,14,0,16,0,1,9,9,1,1,10,2,7,Round 6,,2.0,,,,Split_2
,SUAVE,60,19,1,8,5,2,7,3,8,17,1,1,8,Round 6,,3.0,,,,Split_2
,INS,38,4,5,6,1,11,3,11,5,3,2,7,2,Round 6,,4.0,,,,Split_2
,OMEGA,37,5,8,15,2,13,3,12,2,12,3,4,6,Round 6,,5.0,,,,Split_2
,DOOD,37,2,6,5,5,15,4,15,2,14,2,10,0,Round 6,,6.0,,,,Split_2
,HRS,36,13,2,1,10,14,3,6,1,18,3,17,0,Round 6,,7.0,,,,Split_2
,BRZ,31,6,0,7,6,8,3,17,0,2,3,9,0,Round 6,,8.0,,,,Split_2
,OF,30,7,2,10,5,18,2,8,3,11,4,8,4,Round 6,,9.0,,,,Split_2
,NLNL,30,10,5,11,0,19,0,5,6,6,2,15,6,Round 6,,10.0,,,,Split_2
,GUG,30,8,1,2,6,9,0,7,4,15,1,18,1,Round 6,,11.0,,,,Split_2
,PTD,29,15,0,18,0,5,5,2,8,13,0,14,0,Round 6,,12.0,,,,Split_2
,USB,28,3,5,14,0,10,0,10,3,9,4,11,1,Round 6,,13.0,,,,Split_2
,DS,23,9,2,9,3,6,1,16,1,16,3,6,3,Round 6,,14.0,,,,Split_2
,ULW,21,16,5,13,3,4,2,14,0,10,0,13,1,Round 6,,15.0,,,,Split_2
,BHT,18,18,0,19,0,7,2,4,0,5,0,12,3,Round 6,,16.0,,,,Split_2
,SIG,15,12,2,17,0,12,2,19,0,8,1,5,2,Round 6,,17.0,,,,Split_2
,FSN,13,11,0,12,1,16,1,18,0,7,3,16,3,Round 6,,18.0,,,,Split_2
,TBG,10,17,0,3,2,17,0,13,0,19,0,19,0,Round 6,,19.0,,,,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 6,,20.0,,,,Split_2
,FNX,89,1,12,6,5,4,6,18,0,1,13,1,9,Round 7,,,1.0,,,Split_2
,ODK,70,7,8,1,12,17,0,3,10,8,1,9,13,Round 7,,,2.0,,,Split_2
,DYN,63,2,5,10,9,12,0,1,14,19,0,2,2,Round 7,,,3.0,,,Split_2
,SUAVE,53,11,1,3,4,7,5,7,0,2,11,3,2,Round 7,,,4.0,,,Split_2
,USB,41,13,0,9,4,1,8,4,1,3,1,20,0,Round 7,,,5.0,,,Split_2
,1SE,37,4,1,17,0,9,6,6,5,5,2,5,5,Round 7,,,6.0,,,Split_2
,BRZ,37,3,1,13,0,15,0,2,1,4,4,6,5,Round 7,,,7.0,,,Split_2
,AIE,33,6,1,4,5,5,4,12,4,20,0,7,3,Round 7,,,8.0,,,Split_2
,3KPA,28,5,6,11,3,13,3,16,0,17,3,4,2,Round 7,,,9.0,,,Split_2
,NLNL,28,8,3,2,0,18,0,10,3,9,6,15,0,Round 7,,,10.0,,,Split_2
,DOOD,22,15,3,18,3,11,1,8,3,6,4,11,0,Round 7,,,11.0,,,Split_2
,3PLUS,22,14,0,12,0,3,8,13,0,14,0,16,3,Round 7,,,12.0,,,Split_2
,BTH,21,10,3,15,0,6,4,17,2,7,1,10,0,Round 7,,,13.0,,,Split_2
,TCS,20,19,0,20,1,20,0,5,8,10,2,14,2,Round 7,,,14.0,,,Split_2
,GUG,20,20,0,5,7,10,0,14,5,18,0,12,0,Round 7,,,15.0,,,Split_2
,1IQ,18,12,1,8,3,19,0,19,0,12,1,13,8,Round 7,,,16.0,,,Split_2
,ULW,18,16,3,16,0,2,4,11,0,15,0,17,0,Round 7,,,17.0,,,Split_2
,INS,17,9,6,7,0,16,0,20,0,13,3,18,2,Round 7,,,18.0,,,Split_2
,PRDX,13,17,0,14,1,8,5,9,1,11,0,19,0,Round 7,,,19.0,,,Split_2
,DS,11,18,0,19,0,14,1,15,0,16,5,8,1,Round 7,,,20.0,,,Split_2
,SNG,92,9,5,1,18,2,10,6,0,4,10,2,9,Round 8,,,,1.0,,Split_2
,LNW,83,2,13,9,4,9,6,1,16,2,6,7,1,Round 8,,,,2.0,,Split_2
,XEN,64,3,5,4,2,1,12,4,4,18,0,5,8,Round 8,,,,3.0,,Split_2
,ELV,52,4,6,3,9,16,0,10,3,1,8,17,0,Round 8,,,,4.0,,Split_2
,SST,47,7,6,11,0,7,4,2,13,6,2,11,2,Round 8,,,,5.0,,Split_2
,PD,45,17,0,13,3,8,3,8,9,5,10,4,6,Round 8,,,,6.0,,Split_2
,PTD,45,15,1,8,2,4,2,19,0,3,6,1,7,Round 8,,,,7.0,,Split_2
,TK,39,5,3,2,8,5,3,5,1,16,3,19,0,Round 8,,,,8.0,,Split_2
,OF,35,8,0,10,1,3,9,7,4,9,5,18,0,Round 8,,,,9.0,,Split_2
,HRS,33,1,6,15,0,17,0,3,3,11,0,10,1,Round 8,,,,10.0,,Split_2
,MVP,31,18,0,5,6,15,1,14,0,8,0,3,9,Round 8,,,,11.0,,Split_2
,ASAIM,15,12,4,17,0,18,0,9,1,7,0,13,3,Round 8,,,,12.0,,Split_2
,FSN,13,13,3,14,0,6,1,18,0,13,1,12,1,Round 8,,,,13.0,,Split_2
,OMEGA,13,6,2,6,3,19,0,16,0,14,0,14,0,Round 8,,,,14.0,,Split_2
,CAPI,13,19,0,12,0,10,1,12,1,10,0,6,2,Round 8,,,,15.0,,Split_2
,GHT,9,10,0,18,0,13,0,15,0,19,0,9,3,Round 8,,,,16.0,,Split_2
,TBG,9,11,0,19,0,12,0,13,0,12,3,8,0,Round 8,,,,17.0,,Split_2
,SIG,7,14,0,16,0,14,2,11,0,15,0,14,0,Round 8,,,,18.0,,Split_2
,BHT,6,16,0,7,0,11,2,17,0,17,0,16,0,Round 8,,,,19.0,,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 8,,,,20.0,,Split_2
,1SE,76,5,5,8,3,14,0,2,13,6,6,1,18,Round 9,,,,,1.0,Split_2
,ODK,76,3,8,1,10,16,3,4,7,1,9,13,2,Round 9,,,,,2.0,Split_2
,SNG,75,6,4,4,6,2,10,1,8,2,8,12,0,Round 9,,,,,3.0,Split_2
,3KPA,51,7,6,7,1,4,10,3,5,8,4,11,4,Round 9,,,,,4.0,Split_2
,OMEGA,49,9,1,2,4,5,7,5,2,5,1,3,4,Round 9,,,,,5.0,Split_2
,FSN,48,1,7,11,4,1,6,8,0,16,0,6,1,Round 9,,,,,6.0,Split_2
,1IQ,42,4,4,3,7,10,2,15,0,9,1,4,6,Round 9,,,,,7.0,Split_2
,AIE,30,2,6,9,2,6,1,9,3,15,0,15,0,Round 9,,,,,8.0,Split_2
,TCS,26,11,4,5,1,18,0,17,1,3,4,7,1,Round 9,,,,,9.0,Split_2
,DYN,24,17,0,6,4,11,0,6,7,12,3,9,0,Round 9,,,,,10.0,Split_2
,BTH,24,8,0,10,5,15,0,13,0,14,2,5,6,Round 9,,,,,11.0,Split_2
,OF,22,18,0,12,0,13,0,18,1,11,2,2,7,Round 9,,,,,12.0,Split_2
,PTD,19,16,0,13,1,9,0,16,0,4,5,8,3,Round 9,,,,,13.0,Split_2
,HRS,17,10,2,18,0,8,3,14,0,7,2,10,0,Round 9,,,,,14.0,Split_2
,SIG,15,14,0,17,0,3,5,12,0,13,0,18,0,Round 9,,,,,15.0,Split_2
,BHT,13,15,0,15,2,17,0,11,3,10,1,17,2,Round 9,,,,,16.0,Split_2
,PRDX,9,13,2,16,0,7,0,10,0,18,1,16,0,Round 9,,,,,17.0,Split_2
,TBG,8,12,0,14,0,12,1,7,0,17,0,14,0,Round 9,,,,,18.0,Split_2
,3PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,,,,,19.0,Split_2
,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 9,,,,,20.0,Split_2
