Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
7.0,DoorKickingGang,20,12,3,9,3,7,4,7,1,Lobby 14,Round_1,,,,
8.0,Houston Angels,19,7,0,10,1,8,6,8,3,Lobby 14,Round_1,,,,
9.0,The Inmortals,17,8,0,2,0,9,0,9,2,Lobby 14,Round_1,,,,
10.0,RLP,15,13,0,11,0,5,3,4,1,Lobby 14,Round_1,,,,
11.0,AlphaSigmaGrind,12,11,0,7,6,14,0,11,0,Lobby 14,Round_1,,,,
12.0,Spood Beast,12,10,0,14,0,4,1,6,0,Lobby 14,Round_1,,,,
13.0,BoredLizards,8,0,0,4,0,10,0,15,0,Lobby 14,Round_1,,,,
14.0,Nuks,7,9,0,15,0,11,1,10,0,Lobby 14,Round_1,,,,
15.0,ELITESmx,4,14,0,13,0,12,0,13,0,Lobby 14,Round_1,,,,
1.0,EST,82,12,6,1,14,2,16,1,12,Lobby 15,Round_1,,,,
2.0,RAWR,38,13,0,5,3,1,11,5,3,Lobby 15,Round_1,,,,
3.0,OSU Esports,37,3,4,8,3,3,4,2,1,Lobby 15,Round_1,,,,
4.0,Moon Boys,31,5,7,7,4,14,0,6,9,Lobby 15,Round_1,,,,
5.0,Unofficial,30,1,5,6,2,11,0,13,6,Lobby 15,Round_1,,,,
6.0,Lost Pub Players,27,8,2,3,8,7,4,15,0,Lobby 15,Round_1,,,,
7.0,Onyx,21,14,0,11,3,6,0,3,6,Lobby 15,Round_1,,,,
8.0,Tin Roof Tacos,18,2,4,10,0,12,0,9,0,Lobby 15,Round_1,,,,
9.0,Victory Or Death,16,11,0,2,1,9,2,12,0,Lobby 15,Round_1,,,,
10.0,Vertic,14,6,1,4,1,8,1,14,0,Lobby 15,Round_1,,,,
11.0,Jolly Roger,13,9,0,14,0,5,0,4,1,Lobby 15,Round_1,,,,
12.0,Valkyrie Array,13,7,0,12,0,4,0,7,1,Lobby 15,Round_1,,,,
13.0,True SightENT,10,4,0,15,0,10,0,11,1,Lobby 15,Round_1,,,,
14.0,AsTeam,6,0,0,9,0,13,1,10,0,Lobby 15,Round_1,,,,
15.0,RetaliationGGs,6,10,0,13,0,15,0,8,0,Lobby 15,Round_1,,,,
1.0,LF,96,1,17,5,7,1,15,1,17,Lobby 16,Round_1,,,,
2.0,Kaged,55,2,6,3,6,2,8,8,8,Lobby 16,Round_1,,,,
3.0,RCO,41,10,3,1,7,3,4,4,1,Lobby 16,Round_1,,,,
4.0,DoX Rolla,31,11,0,2,8,6,8,14,1,Lobby 16,Round_1,,,,
5.0,Iron Giant,29,6,4,4,3,9,0,2,3,Lobby 16,Round_1,,,,
6.0,Weekend Warriors,18,4,4,8,2,11,0,7,1,Lobby 16,Round_1,,,,
7.0,Lorax,17,13,0,6,1,8,3,5,3,Lobby 16,Round_1,,,,
8.0,Abbys Sports,15,8,1,11,0,12,0,3,3,Lobby 16,Round_1,,,,
9.0,ControllerLegend,14,5,1,12,2,4,0,12,0,Lobby 16,Round_1,,,,
10.0,Siracha,13,3,1,14,1,14,0,9,0,Lobby 16,Round_1,,,,
11.0,Ace Team,12,14,0,10,0,7,0,6,3,Lobby 16,Round_1,,,,
12.0,KUPP_Esports,11,7,1,13,0,5,1,11,0,Lobby 16,Round_1,,,,
13.0,Cuida Tu Mundo,9,9,0,9,0,10,0,10,1,Lobby 16,Round_1,,,,
14.0,Remember Reach,6,12,0,7,0,13,0,13,0,Lobby 16,Round_1,,,,
15.0,Pog Daddys,0,0,0,0,0,0,0,0,0,Lobby 16,Round_1,,,,
1.0,SHEESH,85,1,12,1,11,3,2,1,17,Lobby 17,Round_1,,,,
2.0,Console Crutch,54,4,7,4,8,5,10,2,6,Lobby 17,Round_1,,,,
3.0,CPR Certified,41,2,2,2,8,7,0,5,6,Lobby 17,Round_1,,,,
4.0,AM,32,5,8,3,8,11,0,13,3,Lobby 17,Round_1,,,,
5.0,purple stingrays,32,6,3,9,3,1,6,10,1,Lobby 17,Round_1,,,,
6.0,Movement Temple,31,7,2,8,0,4,7,3,5,Lobby 17,Round_1,,,,
7.0,Global,17,10,0,14,0,2,2,9,1,Lobby 17,Round_1,,,,
8.0,JustSomeWarriors,15,3,0,6,1,12,0,6,0,Lobby 17,Round_1,,,,
9.0,Adolla,14,9,0,5,0,6,2,7,0,Lobby 17,Round_1,,,,
10.0,Full Rush MX,11,13,0,11,0,9,1,4,1,Lobby 17,Round_1,,,,
11.0,ThirdPartyNation,9,8,1,10,0,14,0,8,1,Lobby 17,Round_1,,,,
12.0,Phantom Troupe,8,11,1,7,0,8,0,12,0,Lobby 17,Round_1,,,,
13.0,Lost and Found,7,12,3,12,0,13,0,11,0,Lobby 17,Round_1,,,,
14.0,AirPlane Mode,5,15,0,15,0,10,0,15,0,Lobby 17,Round_1,,,,
15.0,Abadomen,4,14,0,13,0,15,0,14,0,Lobby 17,Round_1,,,,
1.0,Point Theft,55,5,7,15,3,1,27,13,0,Lobby 18,Round_1,,,,
2.0,Los Hefes,52,1,14,4,11,4,4,12,0,Lobby 18,Round_1,,,,
3.0,2R1M,45,2,5,2,2,3,1,4,7,Lobby 18,Round_1,,,,
4.0,Perpetual Empire,44,10,1,1,9,9,0,1,6,Lobby 18,Round_1,,,,
5.0,2B1R,32,8,0,3,9,13,3,5,6,Lobby 18,Round_1,,,,
6.0,Landry,27,6,5,10,1,10,0,3,7,Lobby 18,Round_1,,,,
7.0,Chefs,22,13,3,6,7,14,0,6,4,Lobby 18,Round_1,,,,
8.0,ZooWeeMama,21,3,5,13,0,5,1,9,1,Lobby 18,Round_1,,,,
9.0,Matchments,20,15,1,16,0,16,0,2,9,Lobby 18,Round_1,,,,
10.0,Bigg,20,4,0,7,1,2,0,8,0,Lobby 18,Round_1,,,,
11.0,BigTrollSquad,14,11,3,8,2,11,3,10,0,Lobby 18,Round_1,,,,
12.0,Northern Hosers,13,7,0,5,2,6,0,15,0,Lobby 18,Round_1,,,,
13.0,CakeSmack,11,12,0,12,1,12,3,14,3,Lobby 18,Round_1,,,,
14.0,NewBastionMx,8,16,0,14,0,7,0,7,1,Lobby 18,Round_1,,,,
15.0,Team FST,8,9,0,9,0,8,0,11,1,Lobby 18,Round_1,,,,
16.0,JokersFC,3,14,0,11,0,15,0,0,0,Lobby 18,Round_1,,,,
1.0,CVS,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
2.0,Dino nuggiez,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
3.0,Essentials G,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
4.0,Laggy 'n Rollers,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
5.0,Mexican Legion,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
6.0,NSO,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
7.0,NNG,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
8.0,Pepes Silvia,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
9.0,Space Mommy,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
10.0,Team PreMid,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
11.0,TexasRatsnakes,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
12.0,The Monke Men,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
13.0,Unit Gaming,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
14.0,WASH,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
15.0,oni,0,0,0,0,0,0,0,0,0,Lobby 19,Round_1,,,,
1.0,NBL,125,2,16,1,29,1,31,8,14,Lobby 1,Round_1,,,,
2.0,Fuego,50,1,7,2,0,9,0,2,11,Lobby 1,Round_1,,,,
3.0,Capricorn,30,4,0,10,0,4,2,1,4,Lobby 1,Round_1,,,,
4.0,StepBros,24,3,4,4,5,10,0,14,0,Lobby 1,Round_1,,,,
5.0,Amusement416,20,15,0,3,0,12,0,3,4,Lobby 1,Round_1,,,,
6.0,Packet Loss,18,9,2,5,0,5,3,10,1,Lobby 1,Round_1,,,,
7.0,Filii Martis,16,10,1,11,0,2,1,9,0,Lobby 1,Round_1,,,,
8.0,S2 Alliance,15,13,3,9,2,11,2,5,0,Lobby 1,Round_1,,,,
9.0,Team 3G,15,11,0,7,0,7,0,4,3,Lobby 1,Round_1,,,,
10.0,Sins name sins,14,6,0,13,0,3,0,7,0,Lobby 1,Round_1,,,,
11.0,Drop Zone,12,7,0,6,0,6,0,6,0,Lobby 1,Round_1,,,,
12.0,Devils Envy,10,5,2,15,0,8,0,12,0,Lobby 1,Round_1,,,,
13.0,2 Zoomers1boomer,7,14,0,12,2,13,1,11,0,Lobby 1,Round_1,,,,
14.0,Fraggin & Laggin,6,8,1,14,0,14,0,15,0,Lobby 1,Round_1,,,,
15.0,Valhalla,6,12,0,8,0,15,1,13,0,Lobby 1,Round_1,,,,
1.0,Daddy'sDarlings,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
2.0,DropForce,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
3.0,EAB MODEL,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
4.0,ING,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
5.0,LadyandTheTramps,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
6.0,Mexican Demons,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
7.0,PuraVidaCR,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
8.0,Spacelanders,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
9.0,Team Amiba,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
10.0,The Loud Boys,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
11.0,Unsigned Talent,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
12.0,Waffle Stompers,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
13.0,Wonderboys,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
14.0,Zachs Chest Hair,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
15.0,Zoo Pals,0,0,0,0,0,0,0,0,0,Lobby 20,Round_1,,,,
1.0,Apparati,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
2.0,Athena NA,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
3.0,Club Cobra,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
4.0,Hooiya,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
5.0,L1FT,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
6.0,LM,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
7.0,Manifest,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
8.0,MoonStone,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
9.0,No Rolla Gang,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
10.0,ROT,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
11.0,STRIKES,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
12.0,Spartan Mafia,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
13.0,Squid Squad,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
14.0,StunnerShades,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
15.0,xD,0,0,0,0,0,0,0,0,0,Lobby 21,Round_1,,,,
1.0,APEX BOIZ,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
2.0,Aura,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
3.0,Chosen Legacy,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
4.0,Dark Matter,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
5.0,Iconic Trio,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
6.0,Insurgents,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
7.0,Kings of Chaos,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
8.0,Kraken,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
9.0,Lap Sap,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
10.0,OA,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
11.0,PradoHouseCigar,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
12.0,Sad Bois,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
13.0,Soli Deo Gloria,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
14.0,Team combat Pros,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
15.0,TorontoMans,0,0,0,0,0,0,0,0,0,Lobby 22,Round_1,,,,
1.0,AVS,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
2.0,Beyond Legendz,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
3.0,BQB,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
4.0,ForcesGG,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
5.0,JOYBOYS,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
6.0,LuxuryRose,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
7.0,Mictlan Esports,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
8.0,Phenoms,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
9.0,Poutine Taco,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
10.0,RISK,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
11.0,SUP,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
12.0,Team Tempest X,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
13.0,Thrill seekers,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
14.0,Young Prodigies,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
15.0,Zen Panda,0,0,0,0,0,0,0,0,0,Lobby 23,Round_1,,,,
1.0,BAD,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
2.0,Birds of Prey,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
3.0,Dunk Squad,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
4.0,F33N,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
5.0,F5 twisters,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
6.0,Fate Unity,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
7.0,HUBBIES,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
8.0,Just Having Fun,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
9.0,MAP,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
10.0,No Cap,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
11.0,OnTheRocks,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
12.0,TGJ,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
13.0,Team Name,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
14.0,The Wet Bandits,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
15.0,UORG,0,0,0,0,0,0,0,0,0,Lobby 24,Round_1,,,,
1.0,pub stars,109,1,19,4,14,3,15,1,25,Lobby 25,Round_1,,,,
2.0,LNT,65,6,8,1,11,1,14,6,2,Lobby 25,Round_1,,,,
3.0,Swanky Boys,32,2,4,13,0,6,1,2,5,Lobby 25,Round_1,,,,
4.0,BBC,30,7,3,2,3,5,1,4,2,Lobby 25,Round_1,,,,
5.0,Bloodline,23,12,0,7,3,2,3,5,0,Lobby 25,Round_1,,,,
6.0,Buds and Beer,22,5,0,3,3,4,0,8,1,Lobby 25,Round_1,,,,
7.0,Lethal Legion MX,16,3,2,10,0,7,0,10,0,Lobby 25,Round_1,,,,
8.0,UnderWorldGaming,13,4,1,5,0,10,0,12,0,Lobby 25,Round_1,,,,
9.0,Gym O Clock,13,13,0,6,0,8,0,3,0,Lobby 25,Round_1,,,,
10.0,Best Buddies,12,10,3,14,0,12,3,9,0,Lobby 25,Round_1,,,,
11.0,GBK WORLDWIDE,8,8,1,12,0,11,0,7,0,Lobby 25,Round_1,,,,
12.0,Veneno sonico,8,9,0,9,1,9,0,11,0,Lobby 25,Round_1,,,,
13.0,gibbyhands,7,14,0,8,4,20,0,20,0,Lobby 25,Round_1,,,,
14.0,Legacy Nation,2,150,0,11,0,13,0,20,0,Lobby 25,Round_1,,,,
1.0,MOAN,111,1,8,4,8,1,27,1,27,Lobby 26,Round_1,,,,
2.0,zyn,46,4,20,3,7,13,0,4,1,Lobby 26,Round_1,,,,
3.0,The Semi Pros,43,3,1,2,9,4,4,5,4,Lobby 26,Round_1,,,,
4.0,Shadow Point,33,6,2,1,12,15,0,7,0,Lobby 26,Round_1,,,,
5.0,Lunas Superiores,19,11,2,8,0,2,3,8,0,Lobby 26,Round_1,,,,
6.0,SAKG Team,19,2,0,7,0,6,0,10,2,Lobby 26,Round_1,,,,
7.0,MT Heads,17,7,0,10,0,7,0,2,0,Lobby 26,Round_1,,,,
8.0,Deathbox Hunters,16,9,0,12,1,8,1,3,2,Lobby 26,Round_1,,,,
9.0,Hollow Purple,14,10,3,5,1,11,0,6,0,Lobby 26,Round_1,,,,
10.0,Lonesome Devils,12,12,0,9,0,3,1,11,0,Lobby 26,Round_1,,,,
11.0,Team Raven,11,15,0,6,0,5,1,12,1,Lobby 26,Round_1,,,,
12.0,UTK Team White,8,5,0,13,0,12,0,9,0,Lobby 26,Round_1,,,,
13.0,Suck my thermite,6,8,1,14,0,14,0,14,0,Lobby 26,Round_1,,,,
14.0,Canadian Reapers,5,13,0,15,0,10,0,13,0,Lobby 26,Round_1,,,,
15.0,KillDealer,5,14,0,11,0,9,0,15,0,Lobby 26,Round_1,,,,
16.0,301 Gang,0,20,0,20,0,20,0,20,0,Lobby 26,Round_1,,,,
1.0,RT,78,2,15,2,16,3,7,3,8,Lobby 27,Round_1,,,,
2.0,Hardstuck10k,62,6,9,3,9,1,8,2,5,Lobby 27,Round_1,,,,
3.0,Rival,35,5,1,1,10,11,0,6,4,Lobby 27,Round_1,,,,
4.0,WPH,35,4,3,4,0,14,0,1,9,Lobby 27,Round_1,,,,
5.0,Inglorious,34,3,5,5,4,7,2,5,5,Lobby 27,Round_1,,,,
6.0,TTN CRÍO,25,10,4,10,0,4,7,8,3,Lobby 27,Round_1,,,,
7.0,Cool Aid Jammers,20,9,0,12,0,2,5,14,2,Lobby 27,Round_1,,,,
8.0,EpicGamerGaming,19,1,4,13,0,15,0,15,0,Lobby 27,Round_1,,,,
9.0,controllaplayers,15,8,0,9,0,5,6,13,0,Lobby 27,Round_1,,,,
10.0,CLICKCIRCLES,12,14,0,8,2,8,0,7,2,Lobby 27,Round_1,,,,
11.0,Bocek Bandits,12,11,0,6,1,10,0,4,0,Lobby 27,Round_1,,,,
12.0,Silhouette,11,15,0,7,1,13,1,9,2,Lobby 27,Round_1,,,,
13.0,Random Gamers,10,13,0,14,0,6,4,11,0,Lobby 27,Round_1,,,,
14.0,oGwaffles,9,7,0,11,0,9,0,10,1,Lobby 27,Round_1,,,,
15.0,MBM,4,12,0,15,0,12,0,12,0,Lobby 27,Round_1,,,,
1.0,SXG,111,1,15,2,20,1,18,1,13,Lobby 28,Round_1,,,,
2.0,LM,54,3,5,1,5,2,4,4,7,Lobby 28,Round_1,,,,
3.0,Vortex CGO,39,2,3,5,4,3,6,5,2,Lobby 28,Round_1,,,,
4.0,Melon Hogs,35,7,1,3,6,6,0,2,6,Lobby 28,Round_1,,,,
5.0,Phantom Troupe,18,4,6,12,0,12,0,11,4,Lobby 28,Round_1,,,,
6.0,Swagnificent,17,8,0,6,2,13,0,3,2,Lobby 28,Round_1,,,,
7.0,TAT,16,5,6,11,0,14,0,6,1,Lobby 28,Round_1,,,,
8.0,Ron Nation,14,9,1,4,0,11,0,8,3,Lobby 28,Round_1,,,,
9.0,Radish Boys,14,11,1,7,2,4,0,9,0,Lobby 28,Round_1,,,,
10.0,Madhattergaming,12,6,0,14,0,10,5,13,0,Lobby 28,Round_1,,,,
11.0,RAG3,11,10,0,10,0,5,2,14,0,Lobby 28,Round_1,,,,
12.0,LA SWAMP DONKIES,9,14,0,9,0,7,0,7,0,Lobby 28,Round_1,,,,
13.0,H4GAMING,8,12,1,8,0,9,0,10,0,Lobby 28,Round_1,,,,
14.0,BoysRback,0,20,0,20,0,20,0,20,0,Lobby 28,Round_1,,,,
15.0,Mexican flame,0,20,0,20,0,20,0,20,0,Lobby 28,Round_1,,,,
1.0,SMP,94,1,16,1,18,6,3,1,18,Lobby 29,Round_1,,,,
2.0,NightMare Red,47,3,9,2,10,10,7,8,1,Lobby 29,Round_1,,,,
3.0,O TAMA,37,4,1,3,4,2,7,13,3,Lobby 29,Round_1,,,,
4.0,Facts on That,31,6,4,9,0,1,9,14,0,Lobby 29,Round_1,,,,
5.0,Evil Eye,26,13,0,15,0,7,4,2,8,Lobby 29,Round_1,,,,
6.0,Plimbo,24,2,1,13,3,5,0,10,4,Lobby 29,Round_1,,,,
7.0,ChocolateMilk,22,12,3,11,0,3,1,5,5,Lobby 29,Round_1,,,,
